2018-07-10 19:31:48,230-INFO: 
*********************2018-07-10_19-31-48 Mason_bbox2mysql*********************
2018-07-10 19:31:48,230-INFO: read index table from database to get id_project and task bounds
2018-07-10 19:31:48,230-INFO: connet to MySQL...
2018-07-10 19:31:48,331-INFO: connet to MySQL successed!, beging read date table
2018-07-10 19:31:48,443-ERROR: fetchall of sql
2018-07-10 19:31:48,444-INFO: get bboxs list from locussocial:
2018-07-10 19:31:48,444-INFO: requests.....
2018-07-10 19:31:49,214-INFO: requests done, get response....
2018-07-10 19:31:49,214-INFO: There are totally 5 boxs
2018-07-10 19:31:49,214-INFO: save the bboxs info into database:
2018-07-10 19:31:49,214-INFO: connet to MySQL...
2018-07-10 19:31:49,216-INFO: connet to MySQL successed!, beging insert date into mysql table
2018-07-10 19:31:49,290-INFO: The 1 row insert commit,project:193 task:2534
2018-07-10 19:31:49,291-INFO: The 1 row insert commit,project:193 task:2534
2018-07-10 19:31:49,293-INFO: The 1 row insert commit,project:193 task:2534
2018-07-10 19:31:49,294-INFO: The 1 row insert commit,project:193 task:2534
2018-07-10 19:31:49,295-INFO: The 1 row insert commit,project:193 task:2534
2018-07-10 19:31:49,295-INFO: mysql insert successed, close db.
2018-07-10 19:31:49,296-INFO: get bboxs list from locussocial:
2018-07-10 19:31:49,296-INFO: requests.....
2018-07-10 19:31:50,481-INFO: requests done, get response....
2018-07-10 19:31:50,485-INFO: There are totally 316 boxs
2018-07-10 19:31:50,485-INFO: save the bboxs info into database:
2018-07-10 19:31:50,485-INFO: connet to MySQL...
2018-07-10 19:31:50,488-INFO: connet to MySQL successed!, beging insert date into mysql table
2018-07-10 19:31:50,522-INFO: The 2 row insert commit,project:189 task:2513
2018-07-10 19:31:50,523-INFO: The 2 row insert commit,project:189 task:2513
2018-07-10 19:31:50,524-INFO: The 2 row insert commit,project:189 task:2513
2018-07-10 19:31:50,525-INFO: The 2 row insert commit,project:189 task:2513
2018-07-10 19:31:50,527-INFO: The 2 row insert commit,project:189 task:2513
2018-07-10 19:31:50,528-INFO: The 2 row insert commit,project:189 task:2513
2018-07-10 19:31:50,530-INFO: The 2 row insert commit,project:189 task:2513
2018-07-10 19:31:50,531-INFO: The 2 row insert commit,project:189 task:2513
2018-07-10 19:31:50,532-INFO: The 2 row insert commit,project:189 task:2513
2018-07-10 19:31:50,533-INFO: The 2 row insert commit,project:189 task:2513
2018-07-10 19:31:50,534-INFO: The 2 row insert commit,project:189 task:2513
2018-07-10 19:31:50,535-INFO: The 2 row insert commit,project:189 task:2513
2018-07-10 19:31:50,536-INFO: The 2 row insert commit,project:189 task:2513
2018-07-10 19:31:50,537-INFO: The 2 row insert commit,project:189 task:2513
2018-07-10 19:31:50,539-INFO: The 2 row insert commit,project:189 task:2513
2018-07-10 19:31:50,540-INFO: The 2 row insert commit,project:189 task:2513
2018-07-10 19:31:50,542-INFO: The 2 row insert commit,project:189 task:2513
2018-07-10 19:31:50,543-INFO: The 2 row insert commit,project:189 task:2513
